DT,Quote,MarketCap,LastPrice,PE,DY,ROE,Open,Low,High,Chg,ChgPct,Volume,BidPrice,BidVolume,AskPrice,AskVolume,MYRCNY_PerUnit,MYRSGD_PerUnit,MYRUSD_PerUnit,DJI_LastPrice,IXIC_LastPrice,DJI_Change,IXIC_Change,DJI_ChgPct,IXIC_ChgPct,DJI_ChgVolume,IXIC_ChgVolume,CLF_LastPrice,GCF_LastPrice,ZGF_LastPrice,CLF_Change,GCF_Change,ZGF_Change,CLF_ChgPct,GCF_ChgPct,ZGF_ChgPct,CLF_Volume,GCF_Volume,ZGF_Volume,Polarity,Spread,SMA3,WD_Friday,WD_Monday,WD_Thursday,WD_Tuesday,WD_Wednesday,UP
2019-03-04,AIRASIA,9391.0,2.81,4.64,18.51,32.57,2.75,2.75,2.84,0.07,2.55,146086,2.81,1879,2.82,1317,0.6082698505,3.0113684797,4.0795785417,26028.28,7615.92,1.96,20.57,0.01,0.27,64.347,675.87,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,-0.17020000000000002,0.08999999999999986,2.7999999999999994,0,1,0,0,0,False
2019-03-05,AIRASIA,9324.0,2.79,4.61,18.64,32.57,2.8,2.76,2.82,-0.02,-0.7117437722419906,102196,2.79,1440,2.8,55,0.6086764941,3.0090581734,4.0825161511,25819.65,7577.57,-206.67,-17.79,-0.79,-0.23,295.506,2322.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.0,0.06000000000000005,2.7999999999999994,0,0,0,1,0,True
2019-03-06,AIRASIA,9358.0,2.8,4.62,18.57,32.57,2.8,2.78,2.82,0.01,0.35842293906809264,77790,2.8,1685,2.81,2158,0.6090669896,3.0112178839,4.087765444,25806.63,7576.36,-109.37,-1.21,-0.42,-0.02,251.285,1968.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.02416666666666666,0.040000000000000036,2.7999999999999994,0,0,0,0,1,True
2019-03-07,AIRASIA,9458.0,2.83,4.67,18.37,32.57,2.8,2.8,2.88,0.03,1.0714285714285898,136838,2.83,1180,2.84,10,0.609251334,3.0086929062,4.0910652025,25673.46,7505.92,-133.17,-70.44,-0.52,-0.93,256.25,2044.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.08703333333333334,0.08000000000000007,2.806666666666666,0,0,1,0,0,True
2019-03-08,AIRASIA,9591.0,2.87,4.74,18.12,32.57,2.84,2.83,2.9,0.04,1.4134275618374659,103606,2.86,3754,2.87,2054,0.6081406926,3.008660289,4.087600785,25473.23,7421.46,-200.23,-84.46,-0.78,-1.13,289.144,2197.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.08703333333333334,0.06999999999999984,2.8333333333333335,1,0,0,0,0,False
2019-03-11,AIRASIA,9257.0,2.77,4.57,18.77,32.57,2.76,2.75,2.79,0.02,-3.484320557491294,68880,2.76,3227,2.77,112,0.6079265396,3.0086876526,4.0890463132,25554.66,7591.03,-96.22,32.97,-0.38,0.44,317.734,1979.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.0,0.040000000000000036,2.823333333333333,0,1,0,0,0,False
2019-03-12,AIRASIA,9157.0,2.74,4.52,23.36,32.57,2.77,2.73,2.79,-0.03,-1.0830324909747224,48540,2.74,1848,2.75,100,0.6087671079,3.0119035361,4.0841869889,25554.66,7591.03,-96.22,32.97,-0.38,0.44,317.734,1979.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.0,0.06000000000000005,2.793333333333333,0,0,0,1,0,True
2019-03-13,AIRASIA,9324.0,2.79,4.61,22.94,32.57,2.77,2.74,2.83,0.05,1.8248175182481674,82846,2.78,283,2.79,2661,0.6096462753,3.0203313448,4.0887021519,25554.66,7591.03,-96.22,32.97,-0.38,0.44,317.734,1979.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,0.2294,0.08999999999999986,2.7666666666666657,0,0,0,0,1,False
2019-03-14,AIRASIA,9224.0,2.76,4.56,23.19,32.57,2.8,2.76,2.82,-0.03,-1.0752688172043112,55938,2.76,1005,2.77,230,0.6085739847,3.0178107413,4.0911377689,25554.66,7591.03,-96.22,32.97,-0.38,0.44,317.734,1979.0,56.81,1293.5,1291.6,0.74,-5.8,-7.7,1.32,-0.45,-0.59,386531.0,138167.0,0.0,-0.0516,0.06000000000000005,2.7633333333333323,0,0,1,0,0,True
2019-03-15,AIRASIA,9324.0,2.79,4.61,22.94,32.57,2.78,2.73,2.79,0.03,1.0869565217391353,89842,2.75,100,2.79,721,0.608184695,3.0184258318,4.0835739734,25709.94,7630.91,7.05,-12.5,0.03,-0.16,302.791,2017.0,58.65,1306.0,1293.2,0.13,3.1,-9.7,0.22,0.24,-0.74,48553.0,82259.0,0.0,0.5106,0.06000000000000005,2.7799999999999994,1,0,0,0,0,False
2019-03-18,AIRASIA,9324.0,2.79,4.61,22.94,32.57,2.8,2.77,2.81,0.0,0.0,32303,2.78,3648,2.79,33,0.6081841293,3.0198413408,4.0823586238,26053.3,7744.08,139.2,29.61,0.54,0.38,91.238,836.083,58.65,1306.0,1293.2,0.13,3.1,-9.7,0.22,0.24,-0.74,48553.0,82259.0,0.0,0.0,0.040000000000000036,2.78,0,1,0,0,0,True
2019-03-19,AIRASIA,9424.0,2.82,4.66,22.7,32.57,2.79,2.77,2.87,0.03,1.0752688172043001,92127,2.8,675,2.82,282,0.6073783423,3.01878248,4.0785294534,26053.3,7744.08,139.2,29.61,0.54,0.38,91.238,836.083,59.38,1307.9,1293.2,0.29,6.4,-8.3,0.49,0.49,-0.64,21168.0,95324.0,0.0,0.47229999999999994,0.10000000000000009,2.8000000000000003,0,0,0,1,0,False
2019-03-20,AIRASIA,9324.0,2.79,4.61,22.94,32.57,2.8,2.77,2.81,-0.03,-1.0638297872340385,41357,2.78,3414,2.79,642,0.6069182631,3.008560166,4.0626534454,25887.38,7723.95,-26.72,9.47,-0.1,0.12,342.252,2232.0,58.43,1307.9,1293.2,-0.6,1.4,-13.3,-1.02,0.11,-1.02,2038.0,104168.0,0.0,0.47229999999999994,0.040000000000000036,2.8000000000000007,0,0,0,0,1,False
2019-03-21,AIRASIA,9257.0,2.77,4.57,23.1,32.57,2.8,2.76,2.81,-0.02,-0.7168458781361964,40498,2.77,411,2.78,360,0.6043745112,3.0004724225,4.048696558,25887.38,7723.95,-26.72,9.47,-0.1,0.12,342.252,2232.0,59.92,1317.9,1312.6,-0.31,16.2,10.9,-0.51,1.24,0.84,179593.0,130628.0,0.0,0.47229999999999994,0.050000000000000266,2.7933333333333343,0,0,1,0,0,True
2019-03-22,AIRASIA,9324.0,2.79,4.61,22.94,32.57,2.8,2.74,2.8,0.02,0.7220216606498298,39986,2.77,60,2.79,441,0.6064429043,3.0136057546,4.0745800783,25962.51,7838.96,216.84,109.99,0.84,1.42,335.254,2258.0,59.21,1311.6,1312.6,-0.77,4.3,5.3,-1.28,0.33,0.41,211142.0,126809.0,0.0,0.47229999999999994,0.05999999999999961,2.7833333333333337,1,0,0,0,0,False
2019-03-25,AIRASIA,9057.0,2.71,4.47,23.62,32.57,2.74,2.71,2.76,-0.08,-2.8673835125448077,78007,2.71,5839,2.73,50,0.6062883443,3.013478704,4.0675994867,25502.32,7642.67,-460.18,-196.29,-1.77,-2.5,386.508,2151.0,58.79,1319.2,1317.0,-0.25,6.9,4.7,-0.42,0.53,0.36,192759.0,101390.0,2.0,0.0,0.04999999999999982,2.7566666666666677,0,1,0,0,0,True
2019-03-26,AIRASIA,9157.0,2.74,4.52,23.36,32.57,2.73,2.73,2.75,0.03,1.1070110701107083,30082,2.73,2444,2.74,774,0.6072700083,3.0178737033,4.0783022256,25502.32,7642.67,-460.18,-196.29,-1.77,-2.5,386.508,2151.0,58.79,1319.2,1317.0,-0.25,6.9,4.7,-0.42,0.53,0.36,192759.0,101390.0,2.0,0.0,0.020000000000000018,2.746666666666668,0,0,0,1,0,False
2019-03-27,AIRASIA,9023.0,2.7,4.46,23.7,32.57,2.75,2.7,2.75,-0.04,-1.4598540145985384,23001,2.7,7467,2.72,20,0.6063211478,3.0076570036,4.078938573,25625.59,7643.38,-32.14,-48.15,-0.13,-0.63,270.345,1971.0,59.87,1314.0,1318.5,-0.07,-1.0,3.5,-0.12,-0.08,0.27,183782.0,98009.0,0.0,0.14896666666666666,0.04999999999999982,2.7166666666666686,0,0,0,0,1,False
2019-03-28,AIRASIA,9023.0,2.7,4.46,23.7,32.57,2.71,2.69,2.73,0.0,0.0,47270,2.7,1269,2.71,206,0.6050782688,3.0062706577,4.0774488438,25625.59,7643.38,-32.14,-48.15,-0.13,-0.63,270.345,1971.0,58.61,1299.9,1309.9,-0.8,-10.5,-0.5,-1.35,-0.8,-0.04,253372.0,163405.0,0.0,0.14896666666666666,0.040000000000000036,2.7133333333333347,0,0,1,0,0,False
2019-03-29,AIRASIA,8890.0,2.66,4.39,24.06,32.57,2.71,2.62,2.71,-0.04,-1.4814814814814836,139001,2.65,109,2.66,10040,0.6078751967,3.0123660151,4.0804998884,25717.46,7669.17,91.87,25.79,0.36,0.34,237.173,1705.0,60.47,1302.2,1309.9,1.17,6.9,20.1,1.97,0.53,1.56,208771.0,129231.0,0.0,0.14896666666666666,0.08999999999999986,2.686666666666668,1,0,0,0,0,False
2019-04-01,AIRASIA,8823.0,2.64,4.36,24.24,32.57,2.68,2.64,2.68,-0.02,-0.7518796992481258,60055,2.64,235,2.65,221,0.6082048717,3.0132423505,4.0820879532,26258.42,7828.91,329.74,99.59,1.27,1.29,295.567,1967.0,60.18,1290.8,1309.9,0.88,1.0,16.9,1.48,0.13,1.31,189320.0,110954.0,0.0,0.0,0.040000000000000036,2.666666666666668,0,1,0,0,0,True
2019-04-02,AIRASIA,8856.0,2.65,4.37,24.15,32.57,2.65,2.64,2.68,0.01,0.37878787878786735,37384,2.65,723,2.67,1542,0.6080957671,3.0137840728,4.0805450147,26258.42,7828.91,329.74,99.59,1.27,1.29,295.567,1967.0,61.83,1293.7,1309.9,0.24,-0.5,21.5,0.39,-0.04,1.67,220361.0,104417.0,0.0,0.0,0.040000000000000036,2.6500000000000012,0,0,0,1,0,True
2019-04-03,AIRASIA,8923.0,2.67,4.41,23.97,32.57,2.67,2.65,2.68,0.02,0.7547169811320753,32084,2.66,189,2.67,1443,0.6080957671,3.0137840728,4.0805450147,26179.13,7848.69,-79.29,19.78,-0.3,0.25,250.935,1932.0,62.64,1296.8,1309.9,0.06,1.4,19.9,0.1,0.11,1.54,183223.0,92515.0,0.0,0.0772,0.03000000000000025,2.6533333333333347,0,0,0,0,1,False
2019-04-04,AIRASIA,8923.0,2.67,4.41,23.97,32.57,2.66,2.65,2.68,0.0,0.0,45485,2.67,387,2.68,606,0.6074766071,3.012697203,4.0809449314,26218.13,7895.55,39.03,46.86,0.15,0.6,271.975,2252.0,62.53,1287.8,1309.9,0.07,-7.5,20.0,0.11,-0.58,1.55,170284.0,109313.0,0.0,0.0772,0.03000000000000025,2.6633333333333344,0,0,1,0,0,False
2019-04-05,AIRASIA,8856.0,2.65,4.37,24.15,32.57,2.68,2.64,2.68,-0.02,-0.7490636704119868,40452,2.65,3438,2.66,19,0.6087777954,3.0174568046,4.0898283228,26218.13,7895.55,39.03,46.86,0.15,0.6,271.975,2252.0,62.17,1290.2,1309.9,0.07,-4.1,20.9,0.11,-0.32,1.62,168016.0,112781.0,0.0,0.0772,0.040000000000000036,2.6633333333333344,1,0,0,0,0,True
2019-04-08,AIRASIA,8923.0,2.67,4.41,23.97,32.57,2.65,2.61,2.68,0.02,0.7547169811320753,64623,2.64,10,2.67,1514,0.6104952499,3.0265096661,4.1000549165,26341.02,7953.88,-83.97,15.19,-0.32,0.19,229.38,1910.0,63.26,1307.0,1309.9,0.18,11.4,19.5,0.29,0.88,1.51,158186.0,99985.0,0.0,0.0,0.07000000000000028,2.6633333333333344,0,1,0,0,0,False
2019-04-09,AIRASIA,8689.0,2.6,4.29,24.62,32.57,2.67,2.6,2.67,-0.07,-2.621722846441943,92844,2.59,4275,2.6,3085,0.6109001513,3.0297752754,4.1003788797,26341.02,7953.88,-83.97,15.19,-0.32,0.19,229.38,1910.0,64.15,1308.4,1309.9,-0.25,6.5,12.8,-0.39,0.5,0.99,184629.0,107428.0,0.0,0.0,0.06999999999999984,2.640000000000001,0,0,0,1,0,False
2019-04-10,AIRASIA,8455.0,2.53,4.18,25.3,32.57,2.61,2.52,2.62,-0.07,-2.692307692307705,124356,2.52,3447,2.53,5452,0.6121439787,3.0402317881,4.1109424635,26150.58,7909.28,-190.44,-44.61,-0.72,-0.56,244.408,1971.0,64.3,1306.7,1309.9,0.32,-1.6,6.4,0.5,-0.12,0.49,162172.0,87954.0,0.0,0.0,0.10000000000000009,2.600000000000001,0,0,0,0,1,False
2019-04-11,AIRASIA,8255.0,2.47,4.08,25.91,32.57,2.54,2.45,2.56,-0.06,-2.371541501976271,127005,2.47,1133,2.48,455,0.6143716792,3.0451745128,4.1283613845,26157.16,7964.24,6.56,54.96,0.03,0.69,203.125,1845.0,63.89,1300.3,1309.9,-0.72,-13.6,0.8,-1.11,-1.04,0.06,212507.0,133525.0,0.0,0.0,0.10999999999999988,2.5333333333333345,0,0,1,0,0,True
2019-04-12,AIRASIA,8322.0,2.49,4.11,25.7,32.57,2.5,2.48,2.52,0.02,0.809716599190291,54111,2.48,1574,2.49,3578,0.6138528865,3.041826472,4.1155531259,26143.05,7947.36,-14.11,-16.88,-0.05,-0.21,210.796,1808.0,64.5,1295.3,1309.9,0.92,2.0,21.3,1.45,0.15,1.65,180575.0,101767.0,0.0,0.148,0.040000000000000036,2.496666666666668,1,0,0,0,0,False
2019-04-15,AIRASIA,8221.0,2.46,4.06,26.02,32.57,2.51,2.44,2.51,-0.03,-1.2048192771084487,71778,2.45,154,2.46,716,0.6134004609,3.0425270834,4.1147933062,26412.3,7984.16,269.2,36.8,1.03,0.46,369.908,1791.0,63.39,1286.8,1309.9,-0.5,-8.4,19.3,-0.78,-0.65,1.5,151490.0,121674.0,0.0,0.3050666666666667,0.06999999999999984,2.4733333333333345,0,1,0,0,0,True
